rank,security_id,name,market,close,change_pct,current_volume,median_volume_20d,volume_ratio,prior_20d_high,prior_40d_high,breakout_pct,historical_volatility,price_zscore,price_percentile,market_volume_percentile,liquidity_level,matched_rule_count,matched_rules,rule_severity,raw_metrics,why_selected,data_quality
1,TWSE:2905,三商,TWSE,18.1,5.847953216374258,4979451,1342576.5,3.708876924331686,17.35,17.35,4.3227665706051965,2.0004110087550786,2.6186955414108226,100.0,85.5885078776645,HIGH,6,"[""VOLUME_SPIKE"", ""RANGE_BREAKOUT_20D"", ""RANGE_BREAKOUT_40D"", ""PRICE_VOLUME_BREAKOUT"", ""QUIET_TO_VOLUME_SPIKE"", ""PRICE_ANOMALY""]","{""PRICE_ANOMALY"": {""price_zscore"": 2.6186955414108226, ""threshold_multiple"": 1.047478216564329}, ""PRICE_VOLUME_BREAKOUT"": {""breakout_pct"": 4.3227665706051965, ""volume_ratio"": 3.708876924331686}, ""QUIET_TO_VOLUME_SPIKE"": {""current_to_recent5_ratio"": 7.762320535004442, ""recent5_to_20d_ratio"": 0.47780517534755}, ""RANGE_BREAKOUT_20D"": {""breakout_pct"": 4.3227665706051965}, ""RANGE_BREAKOUT_40D"": {""breakout_pct"": 4.3227665706051965}, ""VOLUME_SPIKE"": {""threshold_multiple"": 1.854438462165843, ""volume_ratio"": 3.708876924331686}}","{""abs_price_zscore"": 2.6186955414108226, ""breakout_20d"": true, ""breakout_40d"": true, ""breakout_pct"": 4.3227665706051965, ""change_pct"": 5.847953216374258, ""close"": 18.1, ""current_to_recent5_volume_ratio"": 7.762320535004442, ""current_volume"": 4979451, ""historical_volatility"": 2.0004110087550786, ""intraday_breakout_20d"": true, ""intraday_breakout_40d"": true, ""liquidity_level"": ""HIGH"", ""market_volume_percentile"": 85.5885078776645, ""median_volume_20d"": 1342576.5, ""median_volume_recent5d"": 641490, ""price_percentile"": 100.0, ""price_zscore"": 2.6186955414108226, ""prior_20d_high"": 17.35, ""prior_40d_high"": 17.35, ""prior_sessions"": 49, ""recent5_to_20d_volume_ratio"": 0.47780517534755, ""volume_ratio"": 3.708876924331686}",此前5日中位量仅为20日中位量0.48倍，今日放大至近期5日中位量7.76倍；收盘确认突破此前20日及40日区间高点4.32%，形成量价共振；当日涨跌+5.85%，偏离自身近期正常波动2.62个标准差。,COMPLETE
2,TPEX:8284,三竹,TPEX,68.1,3.652968036529658,295597,17000.0,17.388058823529413,66.4,67.0,2.560240963855409,1.1107325515527358,3.0657177771302213,100.0,70.79493087557604,MEDIUM,5,"[""VOLUME_SPIKE"", ""RANGE_BREAKOUT_20D"", ""RANGE_BREAKOUT_40D"", ""PRICE_VOLUME_BREAKOUT"", ""PRICE_ANOMALY""]","{""PRICE_ANOMALY"": {""price_zscore"": 3.0657177771302213, ""threshold_multiple"": 1.2262871108520885}, ""PRICE_VOLUME_BREAKOUT"": {""breakout_pct"": 2.560240963855409, ""volume_ratio"": 17.388058823529413}, ""RANGE_BREAKOUT_20D"": {""breakout_pct"": 2.560240963855409}, ""RANGE_BREAKOUT_40D"": {""breakout_pct"": 1.6417910447761086}, ""VOLUME_SPIKE"": {""threshold_multiple"": 8.694029411764706, ""volume_ratio"": 17.388058823529413}}","{""abs_price_zscore"": 3.0657177771302213, ""breakout_20d"": true, ""breakout_40d"": true, ""breakout_pct"": 2.560240963855409, ""change_pct"": 3.652968036529658, ""close"": 68.1, ""current_to_recent5_volume_ratio"": 10.948037037037038, ""current_volume"": 295597, ""historical_volatility"": 1.1107325515527358, ""intraday_breakout_20d"": true, ""intraday_breakout_40d"": true, ""liquidity_level"": ""MEDIUM"", ""market_volume_percentile"": 70.79493087557604, ""median_volume_20d"": 17000.0, ""median_volume_recent5d"": 27000, ""price_percentile"": 100.0, ""price_zscore"": 3.0657177771302213, ""prior_20d_high"": 66.4, ""prior_40d_high"": 67.0, ""prior_sessions"": 49, ""recent5_to_20d_volume_ratio"": 1.588235294117647, ""volume_ratio"": 17.388058823529413}",今日成交量达到此前20日中位数17.39倍；收盘确认突破此前20日及40日区间高点2.56%，形成量价共振；当日涨跌+3.65%，偏离自身近期正常波动3.07个标准差。,COMPLETE
3,TWSE:2364,倫飛,TWSE,88.1,8.765432098765435,2044895,193043.0,10.59295079334656,82.3,82.3,7.047387606318334,2.127869683521904,3.66492778049364,100.0,74.46709916589435,MEDIUM,5,"[""VOLUME_SPIKE"", ""RANGE_BREAKOUT_20D"", ""RANGE_BREAKOUT_40D"", ""PRICE_VOLUME_BREAKOUT"", ""PRICE_ANOMALY""]","{""PRICE_ANOMALY"": {""price_zscore"": 3.66492778049364, ""threshold_multiple"": 1.465971112197456}, ""PRICE_VOLUME_BREAKOUT"": {""breakout_pct"": 7.047387606318334, ""volume_ratio"": 10.59295079334656}, ""RANGE_BREAKOUT_20D"": {""breakout_pct"": 7.047387606318334}, ""RANGE_BREAKOUT_40D"": {""breakout_pct"": 7.047387606318334}, ""VOLUME_SPIKE"": {""threshold_multiple"": 5.29647539667328, ""volume_ratio"": 10.59295079334656}}","{""abs_price_zscore"": 3.66492778049364, ""breakout_20d"": true, ""breakout_40d"": true, ""breakout_pct"": 7.047387606318334, ""change_pct"": 8.765432098765435, ""close"": 88.1, ""current_to_recent5_volume_ratio"": 2.814771633903979, ""current_volume"": 2044895, ""historical_volatility"": 2.127869683521904, ""intraday_breakout_20d"": true, ""intraday_breakout_40d"": true, ""liquidity_level"": ""MEDIUM"", ""market_volume_percentile"": 74.46709916589435, ""median_volume_20d"": 193043.0, ""median_volume_recent5d"": 726487, ""price_percentile"": 100.0, ""price_zscore"": 3.66492778049364, ""prior_20d_high"": 82.3, ""prior_40d_high"": 82.3, ""prior_sessions"": 49, ""recent5_to_20d_volume_ratio"": 3.763342882155789, ""volume_ratio"": 10.59295079334656}",今日成交量达到此前20日中位数10.59倍；收盘确认突破此前20日及40日区间高点7.05%，形成量价共振；当日涨跌+8.77%，偏离自身近期正常波动3.66个标准差。,COMPLETE
4,TPEX:3631,晟楠,TPEX,39.9,9.917355371900838,316030,33000.0,9.576666666666666,37.3,37.3,6.970509383378021,2.3218798657749264,4.008517201596471,100.0,71.71658986175115,MEDIUM,5,"[""VOLUME_SPIKE"", ""RANGE_BREAKOUT_20D"", ""RANGE_BREAKOUT_40D"", ""PRICE_VOLUME_BREAKOUT"", ""PRICE_ANOMALY""]","{""PRICE_ANOMALY"": {""price_zscore"": 4.008517201596471, ""threshold_multiple"": 1.6034068806385886}, ""PRICE_VOLUME_BREAKOUT"": {""breakout_pct"": 6.970509383378021, ""volume_ratio"": 9.576666666666666}, ""RANGE_BREAKOUT_20D"": {""breakout_pct"": 6.970509383378021}, ""RANGE_BREAKOUT_40D"": {""breakout_pct"": 6.970509383378021}, ""VOLUME_SPIKE"": {""threshold_multiple"": 4.788333333333333, ""volume_ratio"": 9.576666666666666}}","{""abs_price_zscore"": 4.008517201596471, ""breakout_20d"": true, ""breakout_40d"": true, ""breakout_pct"": 6.970509383378021, ""change_pct"": 9.917355371900838, ""close"": 39.9, ""current_to_recent5_volume_ratio"": 2.431, ""current_volume"": 316030, ""historical_volatility"": 2.3218798657749264, ""intraday_breakout_20d"": true, ""intraday_breakout_40d"": true, ""liquidity_level"": ""MEDIUM"", ""market_volume_percentile"": 71.71658986175115, ""median_volume_20d"": 33000.0, ""median_volume_recent5d"": 130000, ""price_percentile"": 100.0, ""price_zscore"": 4.008517201596471, ""prior_20d_high"": 37.3, ""prior_40d_high"": 37.3, ""prior_sessions"": 49, ""recent5_to_20d_volume_ratio"": 3.9393939393939394, ""volume_ratio"": 9.576666666666666}",今日成交量达到此前20日中位数9.58倍；收盘确认突破此前20日及40日区间高点6.97%，形成量价共振；当日涨跌+9.92%，偏离自身近期正常波动4.01个标准差。,COMPLETE
5,TPEX:4905,台聯電,TPEX,93.1,9.917355371900815,83199,11500.0,7.234695652173913,84.7,84.7,9.917355371900815,3.476656961924082,2.557140161350835,90.0,48.55990783410138,MEDIUM,5,"[""VOLUME_SPIKE"", ""RANGE_BREAKOUT_20D"", ""RANGE_BREAKOUT_40D"", ""PRICE_VOLUME_BREAKOUT"", ""PRICE_ANOMALY""]","{""PRICE_ANOMALY"": {""price_zscore"": 2.557140161350835, ""threshold_multiple"": 1.022856064540334}, ""PRICE_VOLUME_BREAKOUT"": {""breakout_pct"": 9.917355371900815, ""volume_ratio"": 7.234695652173913}, ""RANGE_BREAKOUT_20D"": {""breakout_pct"": 9.917355371900815}, ""RANGE_BREAKOUT_40D"": {""breakout_pct"": 9.917355371900815}, ""VOLUME_SPIKE"": {""threshold_multiple"": 3.6173478260869567, ""volume_ratio"": 7.234695652173913}}","{""abs_price_zscore"": 2.557140161350835, ""breakout_20d"": true, ""breakout_40d"": true, ""breakout_pct"": 9.917355371900815, ""change_pct"": 9.917355371900815, ""close"": 93.1, ""current_to_recent5_volume_ratio"": 2.447029411764706, ""current_volume"": 83199, ""historical_volatility"": 3.476656961924082, ""intraday_breakout_20d"": true, ""intraday_breakout_40d"": true, ""liquidity_level"": ""MEDIUM"", ""market_volume_percentile"": 48.55990783410138, ""median_volume_20d"": 11500.0, ""median_volume_recent5d"": 34000, ""price_percentile"": 90.0, ""price_zscore"": 2.557140161350835, ""prior_20d_high"": 84.7, ""prior_40d_high"": 84.7, ""prior_sessions"": 46, ""recent5_to_20d_volume_ratio"": 2.9565217391304346, ""volume_ratio"": 7.234695652173913}",今日成交量达到此前20日中位数7.23倍；收盘确认突破此前20日及40日区间高点9.92%，形成量价共振；当日涨跌+9.92%，偏离自身近期正常波动2.56个标准差。,COMPLETE
6,TWSE:1909,榮成,TWSE,11.45,8.018867924528305,18088541,2645378.5,6.837789374941998,10.85,11.15,5.5299539170506895,1.7352027014686495,4.5581890547367925,100.0,93.09545875810936,HIGH,5,"[""VOLUME_SPIKE"", ""RANGE_BREAKOUT_20D"", ""RANGE_BREAKOUT_40D"", ""PRICE_VOLUME_BREAKOUT"", ""PRICE_ANOMALY""]","{""PRICE_ANOMALY"": {""price_zscore"": 4.5581890547367925, ""threshold_multiple"": 1.823275621894717}, ""PRICE_VOLUME_BREAKOUT"": {""breakout_pct"": 5.5299539170506895, ""volume_ratio"": 6.837789374941998}, ""RANGE_BREAKOUT_20D"": {""breakout_pct"": 5.5299539170506895}, ""RANGE_BREAKOUT_40D"": {""breakout_pct"": 2.690582959641241}, ""VOLUME_SPIKE"": {""threshold_multiple"": 3.418894687470999, ""volume_ratio"": 6.837789374941998}}","{""abs_price_zscore"": 4.5581890547367925, ""breakout_20d"": true, ""breakout_40d"": true, ""breakout_pct"": 5.5299539170506895, ""change_pct"": 8.018867924528305, ""close"": 11.45, ""current_to_recent5_volume_ratio"": 4.563930585317693, ""current_volume"": 18088541, ""historical_volatility"": 1.7352027014686495, ""intraday_breakout_20d"": true, ""intraday_breakout_40d"": true, ""liquidity_level"": ""HIGH"", ""market_volume_percentile"": 93.09545875810936, ""median_volume_20d"": 2645378.5, ""median_volume_recent5d"": 3963369, ""price_percentile"": 100.0, ""price_zscore"": 4.5581890547367925, ""prior_20d_high"": 10.85, ""prior_40d_high"": 11.15, ""prior_sessions"": 48, ""recent5_to_20d_volume_ratio"": 1.4982237891477532, ""volume_ratio"": 6.837789374941998}",今日成交量达到此前20日中位数6.84倍；收盘确认突破此前20日及40日区间高点5.53%，形成量价共振；当日涨跌+8.02%，偏离自身近期正常波动4.56个标准差。,COMPLETE
7,TWSE:2609,陽明,TWSE,54.7,6.007751937984507,97224950,16959177.5,5.732881208419453,52.2,53.6,4.789272030651337,1.3432508960480836,4.288740607142666,100.0,99.30491195551437,HIGH,5,"[""VOLUME_SPIKE"", ""RANGE_BREAKOUT_20D"", ""RANGE_BREAKOUT_40D"", ""PRICE_VOLUME_BREAKOUT"", ""PRICE_ANOMALY""]","{""PRICE_ANOMALY"": {""price_zscore"": 4.288740607142666, ""threshold_multiple"": 1.7154962428570664}, ""PRICE_VOLUME_BREAKOUT"": {""breakout_pct"": 4.789272030651337, ""volume_ratio"": 5.732881208419453}, ""RANGE_BREAKOUT_20D"": {""breakout_pct"": 4.789272030651337}, ""RANGE_BREAKOUT_40D"": {""breakout_pct"": 2.0522388059701413}, ""VOLUME_SPIKE"": {""threshold_multiple"": 2.8664406042097266, ""volume_ratio"": 5.732881208419453}}","{""abs_price_zscore"": 4.288740607142666, ""breakout_20d"": true, ""breakout_40d"": true, ""breakout_pct"": 4.789272030651337, ""change_pct"": 6.007751937984507, ""close"": 54.7, ""current_to_recent5_volume_ratio"": 4.4755798474007165, ""current_volume"": 97224950, ""historical_volatility"": 1.3432508960480836, ""intraday_breakout_20d"": true, ""intraday_breakout_40d"": true, ""liquidity_level"": ""HIGH"", ""market_volume_percentile"": 99.30491195551437, ""median_volume_20d"": 16959177.5, ""median_volume_recent5d"": 21723431, ""price_percentile"": 100.0, ""price_zscore"": 4.288740607142666, ""prior_20d_high"": 52.2, ""prior_40d_high"": 53.6, ""prior_sessions"": 49, ""recent5_to_20d_volume_ratio"": 1.2809247972078834, ""volume_ratio"": 5.732881208419453}",今日成交量达到此前20日中位数5.73倍；收盘确认突破此前20日及40日区间高点4.79%，形成量价共振；当日涨跌+6.01%，偏离自身近期正常波动4.29个标准差。,COMPLETE
8,TWSE:2603,長榮,TWSE,231.5,5.707762557077634,38361520,7019227.5,5.465205394753197,220.0,220.0,5.227272727272725,1.564478180712321,3.3179920605385607,100.0,97.63670064874884,HIGH,5,"[""VOLUME_SPIKE"", ""RANGE_BREAKOUT_20D"", ""RANGE_BREAKOUT_40D"", ""PRICE_VOLUME_BREAKOUT"", ""PRICE_ANOMALY""]","{""PRICE_ANOMALY"": {""price_zscore"": 3.3179920605385607, ""threshold_multiple"": 1.3271968242154242}, ""PRICE_VOLUME_BREAKOUT"": {""breakout_pct"": 5.227272727272725, ""volume_ratio"": 5.465205394753197}, ""RANGE_BREAKOUT_20D"": {""breakout_pct"": 5.227272727272725}, ""RANGE_BREAKOUT_40D"": {""breakout_pct"": 5.227272727272725}, ""VOLUME_SPIKE"": {""threshold_multiple"": 2.7326026973765987, ""volume_ratio"": 5.465205394753197}}","{""abs_price_zscore"": 3.3179920605385607, ""breakout_20d"": true, ""breakout_40d"": true, ""breakout_pct"": 5.227272727272725, ""change_pct"": 5.707762557077634, ""close"": 231.5, ""current_to_recent5_volume_ratio"": 3.0714232127783436, ""current_volume"": 38361520, ""historical_volatility"": 1.564478180712321, ""intraday_breakout_20d"": true, ""intraday_breakout_40d"": true, ""liquidity_level"": ""HIGH"", ""market_volume_percentile"": 97.63670064874884, ""median_volume_20d"": 7019227.5, ""median_volume_recent5d"": 12489819, ""price_percentile"": 100.0, ""price_zscore"": 3.3179920605385607, ""prior_20d_high"": 220.0, ""prior_40d_high"": 220.0, ""prior_sessions"": 49, ""recent5_to_20d_volume_ratio"": 1.7793723027213464, ""volume_ratio"": 5.465205394753197}",今日成交量达到此前20日中位数5.47倍；收盘确认突破此前20日及40日区间高点5.23%，形成量价共振；当日涨跌+5.71%，偏离自身近期正常波动3.32个标准差。,COMPLETE
9,TWSE:2615,萬海,TWSE,99.6,9.933774834437092,49767959,10195779.5,4.8812313957947016,91.4,91.4,8.97155361050328,2.0426106128536254,4.532735481954037,100.0,98.37812789620018,HIGH,5,"[""VOLUME_SPIKE"", ""RANGE_BREAKOUT_20D"", ""RANGE_BREAKOUT_40D"", ""PRICE_VOLUME_BREAKOUT"", ""PRICE_ANOMALY""]","{""PRICE_ANOMALY"": {""price_zscore"": 4.532735481954037, ""threshold_multiple"": 1.8130941927816149}, ""PRICE_VOLUME_BREAKOUT"": {""breakout_pct"": 8.97155361050328, ""volume_ratio"": 4.8812313957947016}, ""RANGE_BREAKOUT_20D"": {""breakout_pct"": 8.97155361050328}, ""RANGE_BREAKOUT_40D"": {""breakout_pct"": 8.97155361050328}, ""VOLUME_SPIKE"": {""threshold_multiple"": 2.4406156978973508, ""volume_ratio"": 4.8812313957947016}}","{""abs_price_zscore"": 4.532735481954037, ""breakout_20d"": true, ""breakout_40d"": true, ""breakout_pct"": 8.97155361050328, ""change_pct"": 9.933774834437092, ""close"": 99.6, ""current_to_recent5_volume_ratio"": 3.681241217213086, ""current_volume"": 49767959, ""historical_volatility"": 2.0426106128536254, ""intraday_breakout_20d"": true, ""intraday_breakout_40d"": true, ""liquidity_level"": ""HIGH"", ""market_volume_percentile"": 98.37812789620018, ""median_volume_20d"": 10195779.5, ""median_volume_recent5d"": 13519342, ""price_percentile"": 100.0, ""price_zscore"": 4.532735481954037, ""prior_20d_high"": 91.4, ""prior_40d_high"": 91.4, ""prior_sessions"": 49, ""recent5_to_20d_volume_ratio"": 1.3259743406573279, ""volume_ratio"": 4.8812313957947016}",今日成交量达到此前20日中位数4.88倍；收盘确认突破此前20日及40日区间高点8.97%，形成量价共振；当日涨跌+9.93%，偏离自身近期正常波动4.53个标准差。,COMPLETE
10,TWSE:5515,建國,TWSE,53.2,9.80392156862746,1652380,563967.0,2.9299232047265176,50.4,50.4,5.555555555555558,3.3171093849398856,2.7094814288692817,100.0,71.50139017608898,MEDIUM,5,"[""VOLUME_SPIKE"", ""RANGE_BREAKOUT_20D"", ""RANGE_BREAKOUT_40D"", ""PRICE_VOLUME_BREAKOUT"", ""PRICE_ANOMALY""]","{""PRICE_ANOMALY"": {""price_zscore"": 2.7094814288692817, ""threshold_multiple"": 1.0837925715477126}, ""PRICE_VOLUME_BREAKOUT"": {""breakout_pct"": 5.555555555555558, ""volume_ratio"": 2.9299232047265176}, ""RANGE_BREAKOUT_20D"": {""breakout_pct"": 5.555555555555558}, ""RANGE_BREAKOUT_40D"": {""breakout_pct"": 5.555555555555558}, ""VOLUME_SPIKE"": {""threshold_multiple"": 1.4649616023632588, ""volume_ratio"": 2.9299232047265176}}","{""abs_price_zscore"": 2.7094814288692817, ""breakout_20d"": true, ""breakout_40d"": true, ""breakout_pct"": 5.555555555555558, ""change_pct"": 9.80392156862746, ""close"": 53.2, ""current_to_recent5_volume_ratio"": 1.6779434687463506, ""current_volume"": 1652380, ""historical_volatility"": 3.3171093849398856, ""intraday_breakout_20d"": true, ""intraday_breakout_40d"": true, ""liquidity_level"": ""MEDIUM"", ""market_volume_percentile"": 71.50139017608898, ""median_volume_20d"": 563967.0, ""median_volume_recent5d"": 984765, ""price_percentile"": 100.0, ""price_zscore"": 2.7094814288692817, ""prior_20d_high"": 50.4, ""prior_40d_high"": 50.4, ""prior_sessions"": 49, ""recent5_to_20d_volume_ratio"": 1.7461394017735081, ""volume_ratio"": 2.9299232047265176}",今日成交量达到此前20日中位数2.93倍；收盘确认突破此前20日及40日区间高点5.56%，形成量价共振；当日涨跌+9.80%，偏离自身近期正常波动2.71个标准差。,COMPLETE
